row_id,foa_id,title,agency,category,concept_id,concept_label,concept_description,text_snippet,relevant_yes_no
342,fa30fa3f-65dd-4b81-b508-99c9187fe101,Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR,DOS-DRL,method,method_21,Policy Analysis,"Research systematically evaluating public policies and their alternatives: policy evaluation, regulatory and cost-benefit analysis, implementation research, and assessment of programme or legislative outcomes.","Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR The U.S. Department of State, Bureau of Democracy, Human Rights, and Labor announces an open competition for proposals for programs that partner with academic institutions and judicial professional associations to assist academics and practitioners in crafting tools to identify, document, and respond to instances of transnational repression TNR. - Not for profit organizations, including think tanks and civil society, non governmental organizations - Public and private educational institutions - For profit organizations DRL-PRU-Solicitation@state.gov",no
343,fa30fa3f-65dd-4b81-b508-99c9187fe101,Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR,DOS-DRL,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR The U.S. Department of State, Bureau of Democracy, Human Rights, and Labor announces an open competition for proposals for programs that partner with academic institutions and judicial professional associations to assist academics and practitioners in crafting tools to identify, document, and respond to instances of transnational repression TNR. - Not for profit organizations, including think tanks and civil society, non governmental organizations - Public and private educational institutions - For profit organizations DRL-PRU-Solicitation@state.gov",no
344,fa30fa3f-65dd-4b81-b508-99c9187fe101,Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR,DOS-DRL,population,pop_09,Women and Girls,"Research that studies, serves, or is designed to benefit women and girls, including maternal and reproductive health, gender-based violence, women's participation and advancement, sex differences in disease, and gender equity in the workforce.","Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR The U.S. Department of State, Bureau of Democracy, Human Rights, and Labor announces an open competition for proposals for programs that partner with academic institutions and judicial professional associations to assist academics and practitioners in crafting tools to identify, document, and respond to instances of transnational repression TNR. - Not for profit organizations, including think tanks and civil society, non governmental organizations - Public and private educational institutions - For profit organizations DRL-PRU-Solicitation@state.gov",no
345,fa30fa3f-65dd-4b81-b508-99c9187fe101,Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR,DOS-DRL,population,pop_11,Immigrants and Refugees,"Research that studies, serves, or is designed to benefit foreign-born populations: immigrants, migrants, refugees, asylum seekers, displaced people, and undocumented residents. Covers migration, resettlement, acculturation, immigrant health, and language access.","Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR The U.S. Department of State, Bureau of Democracy, Human Rights, and Labor announces an open competition for proposals for programs that partner with academic institutions and judicial professional associations to assist academics and practitioners in crafting tools to identify, document, and respond to instances of transnational repression TNR. - Not for profit organizations, including think tanks and civil society, non governmental organizations - Public and private educational institutions - For profit organizations DRL-PRU-Solicitation@state.gov",no
346,fa30fa3f-65dd-4b81-b508-99c9187fe101,Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR,DOS-DRL,population,pop_14,Incarcerated Populations,"Research that studies, serves, or is designed to benefit people in prisons and jails, detained and justice-involved individuals, formerly incarcerated people, and those in reentry or on probation and parole. Covers correctional health, recidivism, and reintegration.","Leveraging Academic Institutions and Judicial Professional Bodies to Document TNR The U.S. Department of State, Bureau of Democracy, Human Rights, and Labor announces an open competition for proposals for programs that partner with academic institutions and judicial professional associations to assist academics and practitioners in crafting tools to identify, document, and respond to instances of transnational repression TNR. - Not for profit organizations, including think tanks and civil society, non governmental organizations - Public and private educational institutions - For profit organizations DRL-PRU-Solicitation@state.gov",no
347,7dad9246-fa65-436d-a782-170aae9a0722,Small Business Transportation Technical Assistance Center (Region 1),DOT-OSDBU,population,pop_19,Small Business Owners,"Research that studies, serves, or is designed to benefit entrepreneurs and owners of small and medium enterprises, including minority-owned, women-owned, and veteran-owned businesses and start-up founders. Covers small business formation, survival, access to capital, and commercialisation by small firms.","Small Business Transportation Technical Assistance Center (Region 1) The U.S. Department of Transportation (USDOT), Office of the Secretary (OST), Office of Small and Disadvantaged Business Utilization (OSDBU), announces the availability of funding under Notice of Funding Opportunity (NOFO) Number OST/OSDBU-2026-SBTTAC-Region 1-FY2026-1 to establish and operate the Region 1 Small Business Transportation Technical Assistance Center (SBTTAC) formerly known as the Small Business Transportation Resource Centers (SBTRC). The cooperative agreement is for one award for a 12 months base year with two option years, based on performance.",yes
348,56b9ef4f-759a-442e-a9a9-33a250943ef5,Occupational Safety and Health Training Project Grants (T03),HHS-CDC-HHSCDCERA,population,pop_17,Healthcare Workers,"Research that studies, serves, or is designed to benefit clinicians and health personnel: physicians, nurses, allied health professionals, community health workers, caregivers, and health support staff. Covers workforce burnout, clinician wellbeing, occupational exposure, training, and health workforce capacity.","NIOSH is mandated to provide an adequate supply of qualified personnel to carry out the purposes of the Occupational Safety and Health Act, and the TPGs are one of the principal means for meeting this mandate. The majority of TPGs are in academic institutions that provide high quality undergraduate, graduate, and post graduate academic training in a variety of occupational safety and health (OSH) and allied disciplines. NIOSH also funds a limited number of non-academic TPGs to provide specialized training for target audiences and build or strengthen the Nation's OSH workforce capacity.",no
349,56b9ef4f-759a-442e-a9a9-33a250943ef5,Occupational Safety and Health Training Project Grants (T03),HHS-CDC-HHSCDCERA,population,pop_18,First Responders,"Research that studies, serves, or is designed to benefit emergency personnel: firefighters, police officers, emergency medical technicians and paramedics, search-and-rescue teams, and disaster response workers. Covers occupational hazard, trauma exposure, and responder health and safety.","Occupational Safety and Health Training Project Grants (T03) The National Institute for Occupational Safety and Health (NIOSH), Centers for Disease Control and Prevention (CDC), invites grant applications for Training Project Grants (TPGs) that are focused on occupational safety and health training. NIOSH is mandated to provide an adequate supply of qualified personnel to carry out the purposes of the Occupational Safety and Health Act, and the TPGs are one of the principal means for meeting this mandate.",no
350,a9f33369-fd55-4ecf-9470-8e56de85b446,Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required,HHS-FDA,method,method_05,Randomized Controlled Trial,"Research using experimental designs with random assignment of participants to treatment and control or comparison conditions, including randomised trials, cluster-randomised designs, and controlled intervention studies where randomisation establishes causal inference.","Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required The purpose is to fund clinical trials of products evaluating efficacy and/or safety in support of a new indication or change in labeling to address unmet needs in rare neurodegenerative diseases for children and adults. Through the support of collaborative, efficient, and/or innovative clinical trials, FDA expects to increase the number of approved treatments for rare neurodegenerative diseases and exert a broad and positive impact on rare disease drug development.",no
351,a9f33369-fd55-4ecf-9470-8e56de85b446,Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required,HHS-FDA,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required The purpose is to fund clinical trials of products evaluating efficacy and/or safety in support of a new indication or change in labeling to address unmet needs in rare neurodegenerative diseases for children and adults. Through the support of collaborative, efficient, and/or innovative clinical trials, FDA expects to increase the number of approved treatments for rare neurodegenerative diseases and exert a broad and positive impact on rare disease drug development.",no
352,a9f33369-fd55-4ecf-9470-8e56de85b446,Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required,HHS-FDA,method,method_20,Clinical Trial,"Research testing medical or health interventions in human participants to assess safety, efficacy, or effectiveness: phased clinical studies, pragmatic trials, and clinical intervention protocols in patient populations.","Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required The purpose is to fund clinical trials of products evaluating efficacy and/or safety in support of a new indication or change in labeling to address unmet needs in rare neurodegenerative diseases for children and adults. Through the support of collaborative, efficient, and/or innovative clinical trials, FDA expects to increase the number of approved treatments for rare neurodegenerative diseases and exert a broad and positive impact on rare disease drug development.",yes
353,a9f33369-fd55-4ecf-9470-8e56de85b446,Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required,HHS-FDA,population,pop_10,People with Disabilities,"Research that studies, serves, or is designed to benefit people with physical, cognitive, sensory, intellectual, or developmental disabilities. Covers accessibility, assistive technology, disability rights, rehabilitation, deaf and blind communities, and neurodivergent populations, when they are the subject or beneficiary of the research.","Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required The purpose is to fund clinical trials of products evaluating efficacy and/or safety in support of a new indication or change in labeling to address unmet needs in rare neurodegenerative diseases for children and adults. Through the support of collaborative, efficient, and/or innovative clinical trials, FDA expects to increase the number of approved treatments for rare neurodegenerative diseases and exert a broad and positive impact on rare disease drug development.",no
354,ecd0246b-d8ff-481e-ac39-3c0587fac1fb,Continuing Human Enabling Enhancing Restoring and Sustaining,DOD-AFRL,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Continuing Human Enabling Enhancing Restoring and Sustaining The Air Force Research Laboratory, Human Effectiveness Directorate (AFRL/RH) and the United States Air Force School of Medicine (USAFSAM) CHEERS Multiple Authority Announcement (MAA) is intended to provide a comprehensive strategy for AFRL/RH and USAFSAM's range of Science and Technology (S&T) requirements, allowing for progression from basic research to technology maturation and transition. 20 Nov 2025: Amendment 01 - Annual Update The CHEERS Multiple Authority Announcement (MAA) MUST be reviewed in tandem with the solicitations in order to have access to all applicable attachments and instructions.",no
355,ed17c98d-1d39-4f24-b534-92540ea89ca0,Single Source: Post-Stroke Vascular Contributions to Cognitive Impairment and Dementia (VCID) in the United States (U19 - Clinical Trial Not Allowed),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Single Source: Post-Stroke Vascular Contributions to Cognitive Impairment and Dementia (VCID) in the United States (U19 - Clinical Trial Not Allowed) This is a non-competitive funding opportunity intended to fund a single award. The National Institute of Neurological Disorders and Stroke is announcing its intent to issue a single source cooperative agreement award to Massachusetts General Hospital to support the renewal of the Post-Stroke Vascular Cognitive Impairment & Dementia (VCID) program, an ongoing, multi-site clinical research initiative designed to elucidate mechanisms linking stroke to subsequent cognitive impairment and dementia. The award will enable completion of the scientific aims initiated under the original U19 cooperative agreement (RFA-NS-19-012) and advance national priorities described in the National Plan to Address Alzheimer""s Disease.",no
356,85134061-8330-4fff-85cb-5162eb0dfd54,HIV Care Grant Program - Part B States/Territories Formula and AIDS Drug Assistance Program Formula and AIDS Drug Assistance Program Supplemental Awards: Pacific Islands Jurisdictions,HHS-HRSA,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","HIV Care Grant Program - Part B States/Territories Formula and AIDS Drug Assistance Program Formula and AIDS Drug Assistance Program Supplemental Awards: Pacific Islands Jurisdictions The purpose of this program is to provide funding to states and territories to develop and/or enhance access to a comprehensive system of high-quality HIV care and treatment for low-income people with HIV. Domestic territories, and freely associated states",no
357,3f12e124-6cc1-40ba-bbe0-34ba83ed3674,Partnership for Disaster Health Response System,HHS-OS-ASPR,population,pop_17,Healthcare Workers,"Research that studies, serves, or is designed to benefit clinicians and health personnel: physicians, nurses, allied health professionals, community health workers, caregivers, and health support staff. Covers workforce burnout, clinician wellbeing, occupational exposure, training, and health workforce capacity.","The RDHRS is not intended to alter or displace current local patient referral patterns, but is instead intended to define the delivery of clinical care when the existing referral patterns and health care delivery capacity and capabilities are exceeded by catastrophic events (requiring either redistribution of patients, importation of resources, or resource utilization guidelines). Additionally, the RDHRS is intended to provide additional health care integration and expertise into preparedness and response structures. Hospitals, local health care facilities, political subdivisions, states, emergency medical services organizations, emergency management organizations",no
358,3f12e124-6cc1-40ba-bbe0-34ba83ed3674,Partnership for Disaster Health Response System,HHS-OS-ASPR,population,pop_18,First Responders,"Research that studies, serves, or is designed to benefit emergency personnel: firefighters, police officers, emergency medical technicians and paramedics, search-and-rescue teams, and disaster response workers. Covers occupational hazard, trauma exposure, and responder health and safety.","Partnership for Disaster Health Response System Funding for one demonstration project that will help identify issues, develop leading practices, and demonstrate the potential effectiveness and viability of the RDHRS concept. The RDHRS structure is conceptualized as a tiered system that builds upon the existing Medical Surge Capacity and Capability (MSCC) foundation for local medical response (e.g., trauma systems and HCCs) by enhancing coordination mechanisms and incorporating discrete clinical and administrative capabilities at the state and regional levels.",no
359,a7f66930-84ff-49ad-87eb-81723a43dfbc,Novel Approaches to Advance Precision Aging and Cognitive Health,HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Novel Approaches to Advance Precision Aging and Cognitive Health The National Institute on Aging (NIA) intends to publish a Notice of Funding Opportunity (NOFO) to solicit applications that develop or incorporate novel, cutting-edge study designs/methods/analytic approaches through the use of machine learning, artificial intelligence, and adaptive designs to allow the discovery of health/function profiles at the level of the individual and that could lead to the implementation of personalized prevention plans/interventions for cognitive/brain health in older adults. The initiative would allow for both basic research in animal models, as well as the development of profiles for humans, which would span levels of analysis from cellular to societal. Applications are not being solicited at this time.",no
360,a7f66930-84ff-49ad-87eb-81723a43dfbc,Novel Approaches to Advance Precision Aging and Cognitive Health,HHS-NIH11,population,pop_05,Older Adults,"Research that studies, serves, or is designed to benefit elderly people, seniors, aging populations, and geriatric patients. Covers aging processes, age-related disease, dementia and cognitive decline, retirement, long-term care, and later-life wellbeing.",This NOFO will utilize the R01 activity code. Investigators with expertise and insights into this area of aging research are encouraged to begin to consider applying for this new NOFO. Other Eligible ApplicantsIndian/Native American Tribal Governments (Other than Federally Recognized);Eligible Agencies of the Federal Government;U.S. Territory or Possession;Faith-based or Community-based Organizations;Regional Organizations;Non-domestic (non-U.S.) Entities (Foreign Institutions).,yes
361,c0663fce-4986-4771-b5c2-ff4695c264d6,The Next Generation of the Clinical and Translational Science Awards Program Trial Innovation Network,HHS-NIH11,method,method_05,Randomized Controlled Trial,"Research using experimental designs with random assignment of participants to treatment and control or comparison conditions, including randomised trials, cluster-randomised designs, and controlled intervention studies where randomisation establishes causal inference.","The Next Generation of the Clinical and Translational Science Awards Program Trial Innovation Network The Clinical and Translational Science Awards Program Trial Innovation Network (TIN) is a collaborative initiative aimed at addressing critical roadblocks in the design and implementation of multi-center clinical trials. The goal of the TIN is to execute trials better, faster, and more cost-efficiently, as well as serve as a national laboratory to study, understand, and innovate the process of conducting multi-center clinical trials. The purpose of the issuance of the Next Generation of the TIN Notice of Funding Opportunity (NOFO) is to advance the science of clinical trials by developing and implementing innovative solutions to address challenges at the clinical trial and trial network levels.",no
362,c0663fce-4986-4771-b5c2-ff4695c264d6,The Next Generation of the Clinical and Translational Science Awards Program Trial Innovation Network,HHS-NIH11,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","In accordance with NIH standard peer-review processes, the applications will be peer-reviewed, and only meritorious applications will be considered for funding. Other Eligible ApplicantsIndian/Native American Tribal Governments (Other than Federally Recognized);Eligible Agencies of the Federal Government;U.S. Territory or Possession;Faith-based or Community-based Organizations;Regional Organizations;",no
363,c0663fce-4986-4771-b5c2-ff4695c264d6,The Next Generation of the Clinical and Translational Science Awards Program Trial Innovation Network,HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","The Next Generation of the Clinical and Translational Science Awards Program Trial Innovation Network The Clinical and Translational Science Awards Program Trial Innovation Network (TIN) is a collaborative initiative aimed at addressing critical roadblocks in the design and implementation of multi-center clinical trials. The goal of the TIN is to execute trials better, faster, and more cost-efficiently, as well as serve as a national laboratory to study, understand, and innovate the process of conducting multi-center clinical trials.",no
364,c0663fce-4986-4771-b5c2-ff4695c264d6,The Next Generation of the Clinical and Translational Science Awards Program Trial Innovation Network,HHS-NIH11,method,method_20,Clinical Trial,"Research testing medical or health interventions in human participants to assess safety, efficacy, or effectiveness: phased clinical studies, pragmatic trials, and clinical intervention protocols in patient populations.","The purpose of the issuance of the Next Generation of the TIN Notice of Funding Opportunity (NOFO) is to advance the science of clinical trials by developing and implementing innovative solutions to address challenges at the clinical trial and trial network levels. Topics of interest include, but are not limited to, safety monitoring tools and resources, trial leader training and mentorship, digital health technologies, genomic capacity, and disease progression modeling. Awards are made under the authorization of Sections 301 and 405 of the Public Health Service Act as amended (42 USC 241 and 284) and under Federal Regulations 42 CFR Part 52 and 2 CFR Part 200.",yes
365,cc3dbc23-0288-4e8d-bd18-5557f7da92d9,Clinical Data Ecosystem for Genomics (CDEG),HHS-NIH11,method,method_17,Data Science,"Research applying computational and statistical methods to extract knowledge from large or complex datasets: data mining, big data analytics, data-driven discovery, data curation and integration, and scalable analysis pipelines.","Investigators with expertise and insights into this area of genomic medicine and implementation science are encouraged to begin to consider applying for this new NOFO. In addition, collaborative investigations combining expertise in computational genomics and data science, electronic health records (EHR), genomic data standards, cloud and database development, health information exchange, and implementing genomics in clinical care will be encouraged and these investigators should also begin considering applying for this application.",no
366,cc3dbc23-0288-4e8d-bd18-5557f7da92d9,Clinical Data Ecosystem for Genomics (CDEG),HHS-NIH11,method,method_19,Bioinformatics,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines.","Investigators with expertise and insights into this area of genomic medicine and implementation science are encouraged to begin to consider applying for this new NOFO. In addition, collaborative investigations combining expertise in computational genomics and data science, electronic health records (EHR), genomic data standards, cloud and database development, health information exchange, and implementing genomics in clinical care will be encouraged and these investigators should also begin considering applying for this application.",no
367,0273c90c-7c64-4515-b74b-9e10461c3532,Focused Technology Research and Development (R01 Clinical Trial Not Allowed),HHS-NIH11,method,method_05,Randomized Controlled Trial,"Research using experimental designs with random assignment of participants to treatment and control or comparison conditions, including randomised trials, cluster-randomised designs, and controlled intervention studies where randomisation establishes causal inference.",Projects should be justified in terms of technical innovation and utility of such technical innovation for impacting future biomedical research. Outcomes or products of the proposed project should significantly advance the current state of the art and be sufficiently characterized for application in addressing a broad range of biomedical research questions. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply.,no
368,0273c90c-7c64-4515-b74b-9e10461c3532,Focused Technology Research and Development (R01 Clinical Trial Not Allowed),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.",Projects should be justified in terms of technical innovation and utility of such technical innovation for impacting future biomedical research. Outcomes or products of the proposed project should significantly advance the current state of the art and be sufficiently characterized for application in addressing a broad range of biomedical research questions. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply.,no
369,0273c90c-7c64-4515-b74b-9e10461c3532,Focused Technology Research and Development (R01 Clinical Trial Not Allowed),HHS-NIH11,population,pop_07,Indigenous Peoples,"Research that studies, serves, or is designed to benefit Native American, American Indian, Alaska Native, Native Hawaiian, First Nations, and other Indigenous peoples. Covers Indigenous health, language revitalisation, traditional ecological knowledge, and self-determination. Overlaps with Tribal Communities, which refers specifically to federally recognised tribal nations as governing entities.",Outcomes or products of the proposed project should significantly advance the current state of the art and be sufficiently characterized for application in addressing a broad range of biomedical research questions. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.,no
370,0273c90c-7c64-4515-b74b-9e10461c3532,Focused Technology Research and Development (R01 Clinical Trial Not Allowed),HHS-NIH11,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.",Outcomes or products of the proposed project should significantly advance the current state of the art and be sufficiently characterized for application in addressing a broad range of biomedical research questions. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.,no
371,2e6af12c-b19e-405c-b960-fb368eb328b8,Ryan White HIV/AIDS Program (RWHAP) Integrated HIV/AIDS Planning Resource Allocation Cooperative Agreement,HHS-HRSA,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","Ryan White HIV/AIDS Program (RWHAP) Integrated HIV/AIDS Planning Resource Allocation Cooperative Agreement The purpose of this cooperative agreement is to provide tools, training and technical assistance (TA) to RWHAP Parts A and B recipients and their planning bodies to support integrated HIV prevention and care planning, maximizing resources and stregthening the system of HIV care and treatment.",no
372,2e6af12c-b19e-405c-b960-fb368eb328b8,Ryan White HIV/AIDS Program (RWHAP) Integrated HIV/AIDS Planning Resource Allocation Cooperative Agreement,HHS-HRSA,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","Ryan White HIV/AIDS Program (RWHAP) Integrated HIV/AIDS Planning Resource Allocation Cooperative Agreement The purpose of this cooperative agreement is to provide tools, training and technical assistance (TA) to RWHAP Parts A and B recipients and their planning bodies to support integrated HIV prevention and care planning, maximizing resources and stregthening the system of HIV care and treatment.",no
373,2e6af12c-b19e-405c-b960-fb368eb328b8,Ryan White HIV/AIDS Program (RWHAP) Integrated HIV/AIDS Planning Resource Allocation Cooperative Agreement,HHS-HRSA,population,pop_17,Healthcare Workers,"Research that studies, serves, or is designed to benefit clinicians and health personnel: physicians, nurses, allied health professionals, community health workers, caregivers, and health support staff. Covers workforce burnout, clinician wellbeing, occupational exposure, training, and health workforce capacity.","Ryan White HIV/AIDS Program (RWHAP) Integrated HIV/AIDS Planning Resource Allocation Cooperative Agreement The purpose of this cooperative agreement is to provide tools, training and technical assistance (TA) to RWHAP Parts A and B recipients and their planning bodies to support integrated HIV prevention and care planning, maximizing resources and stregthening the system of HIV care and treatment.",no
374,0c69e7ff-6111-43a6-bcda-34f2865d37c5,Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Development and Validation of Model Systems to Facilitate Neurotherapeutic Discovery (R61/R33 Clinical Trial Not Allowed),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","The goal of this FOA is to promote a significant improvement in the translational relevance of animal models or ex vivo systems that will be utilized to facilitate future development of neurotherapeutics. Ideally, models proposed for this FOA would have the potential to provide feasible and meaningful assessments of efficacy following therapeutic intervention that would be applicable in both preclinical and clinical settings. This FOA is part of a suite of Innovation Grants to Nurture Initial Translational Efforts (IGNITE) Program focused on enabling the exploratory and early stages of drug discovery.",no
375,ad2bb254-a630-48c4-a24f-c4bc644b9067,DoW Melanoma Research Program Survivorship Research Award,DOD-AMRAA,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Distinctive Features: Â· The application must include at least one melanoma consumer collaborator , defined as a melanoma survivor, family member and/or care partner who can provide lived experience expertise to the research project team, or a melanoma-community supporting organization to support the planning, execution, and implementation of the proposed research. Â· Clinical trials are allowed. eBRAP Help Desk Phone: 301-682-5507 Email: help@eBRAP.org",no
376,934ac14a-92f7-47aa-81e5-c2b6577cb31d,Boosting Innovative GEOINT - Science & Technology Broad Agency Announcement (BIG-ST BAA),DOD-NGIA,method,method_11,Geospatial Analysis,"Research analysing geographic and spatial data: geographic information systems, spatial statistics, mapping, location-based analysis, spatial autocorrelation, and geographic modelling of phenomena across space.","Boosting Innovative GEOINT - Science & Technology Broad Agency Announcement (BIG-ST BAA) The Boosting Innovative GEOINT-Science and Technology (BIG-ST) Broad Agency Announcement (BAA) invites proposers to submit innovative concepts to address hard GEOINT problems that align to one or more of the following technical domains: (1) Foundational GEOINT, (2) Advanced Phenomenologies, and (3) Analytic Technologies. BAA Process and Topic Call Publication: The BIG-ST BAA is a general announcement of NGAâs research interest, including criteria for selecting proposals and soliciting the participation of all offerors capable of satisfying the Governmentâs needs.",yes
377,934ac14a-92f7-47aa-81e5-c2b6577cb31d,Boosting Innovative GEOINT - Science & Technology Broad Agency Announcement (BIG-ST BAA),DOD-NGIA,method,method_18,Remote Sensing,"Research acquiring measurements at a distance using sensors: satellite and airborne imagery, LiDAR, radar, hyperspectral sensing, and Earth-observation data used to characterise surfaces, atmosphere, or oceans.","Boosting Innovative GEOINT - Science & Technology Broad Agency Announcement (BIG-ST BAA) The Boosting Innovative GEOINT-Science and Technology (BIG-ST) Broad Agency Announcement (BAA) invites proposers to submit innovative concepts to address hard GEOINT problems that align to one or more of the following technical domains: (1) Foundational GEOINT, (2) Advanced Phenomenologies, and (3) Analytic Technologies. BAA Process and Topic Call Publication: The BIG-ST BAA is a general announcement of NGAâs research interest, including criteria for selecting proposals and soliciting the participation of all offerors capable of satisfying the Governmentâs needs.",no
